,n_comprobante,fecha,cliente,codigo,cantidad,descripcion,p_unitario,iva,precio_final
3594,B 0003- 00178511,19/01/2023,Cliente: Consumidor Final (1),899,1,Coca Cola 1500 cc,470.0,21.0,470.0
3595,B 0003- 00178512,19/01/2023,Cliente: Consumidor Final (1),7894591,1,chesterfield ks 20,400.0,21.0,400.0
3596,B 0003- 00178513,19/01/2023,Cliente: Consumidor Final (1),1645,1,Pepsi 500cc,190.0,21.0,190.0
3597,B 0003- 00178514,19/01/2023,Cliente: Consumidor Final (1),6191,1,Pepsi 2L Retornable,350.0,21.0,350.0
3598,B 0003- 00178515,19/01/2023,Cliente: Consumidor Final (1),974,1,yogur con cereal clasico serenisima,215.0,21.0,215.0
3599,B 0003- 00178516,19/01/2023,Cliente: Consumidor Final (1),3508,1,Café para llevar,200.0,21.0,200.0
3600,B 0003- 00178517,19/01/2023,Cliente: Consumidor Final (1),7894404,1,Rollos de cocina cartabella,400.0,21.0,400.0
3601,B 0003- 00178518,19/01/2023,Cliente: Consumidor Final (1),1,10,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,100.0
3602,B 0003- 00178519,19/01/2023,Cliente: Consumidor Final (1),3021,1,"sanguche milanesa jamon, queso casero",430.0,21.0,430.0
3603,B 0003- 00178520,19/01/2023,Cliente: Consumidor Final (1),905,1,Sprite 500cc,220.0,21.0,220.0
3604,B 0003- 00178521,19/01/2023,Cliente: Consumidor Final (1),1624,1,Coca Cola Zero x 500 cc,220.0,21.0,220.0
3605,B 0003- 00178521,19/01/2023,Cliente: Consumidor Final (1),3021,1,"sanguche milanesa jamon, queso casero",430.0,21.0,430.0
3606,B 0003- 00178521,19/01/2023,Cliente: Consumidor Final (1),3517,1,Encendedor Candela,110.0,21.0,110.0
3607,B 0003- 00178522,19/01/2023,Cliente: Consumidor Final (1),7894616,1,Chesterfield fresh box,430.0,21.0,430.0
3608,B 0003- 00178523,19/01/2023,Cliente: Consumidor Final (1),7791353,1,Beldent Menta Fuerte,110.0,21.0,110.0
3609,B 0003- 00178523,19/01/2023,Cliente: Consumidor Final (1),983,2,Quilmes Lata 473cc,320.0,21.0,640.0
3610,B 0003- 00178523,19/01/2023,Cliente: Consumidor Final (1),18,1,MARLBORO KS,540.0,10.5,540.0
3611,B 0003- 00178524,19/01/2023,Cliente: Consumidor Final (1),3517,1,Encendedor Candela,110.0,21.0,110.0
3612,B 0003- 00178524,19/01/2023,Cliente: Consumidor Final (1),7895179,1,CIGARRILOS PIER BOX,200.0,21.0,200.0
3613,B 0003- 00178525,19/01/2023,Cliente: Consumidor Final (1),7894730,1,7UP 250 cc,130.0,21.0,130.0
3614,B 0003- 00178526,19/01/2023,Cliente: Consumidor Final (1),6560,1,Mogul dinos 30g,90.0,21.0,90.0
3615,B 0003- 00178527,19/01/2023,Cliente: Consumidor Final (1),6598,1,LEVITE CERO MANZANA 500CC,180.0,21.0,180.0
3616,B 0003- 00178528,19/01/2023,Cliente: Billetera (23),903,1,coca cola retornable 2000,440.0,21.0,440.0
3617,B 0003- 00178529,19/01/2023,Cliente: Consumidor Final (1),7895179,1,CIGARRILOS PIER BOX,200.0,21.0,200.0
3618,B 0003- 00178530,19/01/2023,Cliente: Consumidor Final (1),7894222,2,Tang limonada dulce,65.0,21.0,130.0
3619,B 0003- 00178531,19/01/2023,Cliente: Billetera (23),7894731,1,Pepsi 250 cc,130.0,21.0,130.0
3620,B 0003- 00178531,19/01/2023,Cliente: Billetera (23),1512,1,Pebete Salame y Queso Migamax,330.0,21.0,330.0
3621,B 0003- 00178532,19/01/2023,Cliente: Consumidor Final (1),7895179,1,CIGARRILOS PIER BOX,200.0,21.0,200.0
3622,B 0003- 00178533,19/01/2023,Cliente: QR Nico (21),1038,1,Gatorade Cool Blue 500cc,350.0,21.0,350.0
3623,B 0003- 00178534,19/01/2023,Cliente: Billetera (23),6191,1,Pepsi 2L Retornable,350.0,21.0,350.0
3624,B 0003- 00178535,19/01/2023,Cliente: Billetera (23),106,1,ENSALADA DE FRUTA,260.0,21.0,260.0
3625,B 0003- 00178535,19/01/2023,Cliente: Billetera (23),9540804,2,Clight naranja dulce,50.0,21.0,100.0
3626,B 0003- 00178535,19/01/2023,Cliente: Billetera (23),1,4,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,40.0
3627,B 0003- 00178536,19/01/2023,Cliente: QR Nico (21),898,1,Coca Cola 1250cc Retornable,340.0,21.0,340.0
3628,B 0003- 00178536,19/01/2023,Cliente: QR Nico (21),3021,1,"sanguche milanesa jamon, queso casero",430.0,21.0,430.0
3629,B 0003- 00178536,19/01/2023,Cliente: QR Nico (21),9541084,1,cigarrillos pier 10box,120.0,21.0,120.0
3630,B 0003- 00178537,19/01/2023,Cliente: QR Nico (21),1,118,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,1180.0
3631,B 0003- 00178538,19/01/2023,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,220.0,21.0,220.0
3632,B 0003- 00178539,19/01/2023,Cliente: Consumidor Final (1),1,50,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,500.0
3633,B 0003- 00178540,19/01/2023,Cliente: Consumidor Final (1),260,1,levite pera zero 500cc,180.0,21.0,180.0
3634,B 0003- 00178541,19/01/2023,Cliente: Consumidor Final (1),1537,1,opera 92gr,190.0,21.0,190.0
3635,B 0003- 00178542,19/01/2023,Cliente: Consumidor Final (1),7893671,1,fit mix  granola  bolsita,260.0,21.0,260.0
3636,B 0003- 00178542,19/01/2023,Cliente: Consumidor Final (1),248,1,prime ultra fino,450.0,21.0,450.0
3637,B 0003- 00178542,19/01/2023,Cliente: Consumidor Final (1),106,1,ENSALADA DE FRUTA,260.0,21.0,260.0
3638,B 0003- 00178543,19/01/2023,Cliente: Consumidor Final (1),7893753,1,Brahma lata 473ml,320.0,21.0,320.0
3639,B 0003- 00178544,19/01/2023,Cliente: Consumidor Final (1),6340,1,Philip Morris Caps 10,310.0,21.0,310.0
3640,B 0003- 00178545,19/01/2023,Cliente: Consumidor Final (1),6340,1,Philip Morris Caps 10,310.0,21.0,310.0
3641,B 0003- 00178546,19/01/2023,Cliente: Consumidor Final (1),9541087,2,Clight Pomelo Rosado,65.0,21.0,130.0
3642,B 0003- 00178547,19/01/2023,Cliente: Billetera (23),1038,1,Gatorade Cool Blue 500cc,350.0,21.0,350.0
3643,B 0003- 00178547,19/01/2023,Cliente: Billetera (23),7894680,1,Doritos queso 45g,280.0,21.0,280.0
3644,B 0003- 00178548,19/01/2023,Cliente: Consumidor Final (1),17,6,Adicional Bebida en la mesa,5.0,21.0,30.0
3645,B 0003- 00178548,19/01/2023,Cliente: Consumidor Final (1),7791585,1,Schneider litro,560.0,21.0,560.0
3646,B 0003- 00178548,19/01/2023,Cliente: Consumidor Final (1),9540942,1,levite fizz pomelo 575ml,150.0,21.0,150.0
3647,B 0003- 00178549,19/01/2023,Cliente: Consumidor Final (1),7893912,1,Hojaldrada triangulitos,260.0,21.0,260.0
3648,B 0003- 00178550,19/01/2023,Cliente: Consumidor Final (1),923,1,Brio Pomelo 1.5,150.0,21.0,150.0
3649,B 0003- 00178551,19/01/2023,Cliente: Consumidor Final (1),905,1,Sprite 500cc,220.0,21.0,220.0
3650,B 0003- 00178552,19/01/2023,Cliente: Billetera (23),6375,1,Tabaco Lucky original,790.0,21.0,790.0
3651,B 0003- 00178552,19/01/2023,Cliente: Billetera (23),6057,1,OCB negros,180.0,21.0,180.0
3652,B 0003- 00178553,19/01/2023,Cliente: Consumidor Final (1),7894758,1,soda social SIFON descartable,190.0,21.0,190.0
3653,B 0003- 00178553,19/01/2023,Cliente: Consumidor Final (1),7893780,1,mani pelado pehuamar x 85grs,370.0,21.0,370.0
3654,B 0003- 00178553,19/01/2023,Cliente: Consumidor Final (1),7894323,1,Pehuamar acanaladas 80grs,400.0,21.0,400.0
3655,B 0003- 00178554,19/01/2023,Cliente: Billetera (23),7894208,1,7up sin azucar lata,130.0,21.0,130.0
3656,B 0003- 00178555,19/01/2023,Cliente: Billetera (23),172,1,Cofler Block x 110g,320.0,21.0,320.0
3657,B 0003- 00178556,19/01/2023,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,540.0,21.0,540.0
3658,B 0003- 00178557,19/01/2023,Cliente: Consumidor Final (1),9540754,1,"agua social  2,25",130.0,21.0,130.0
3659,B 0003- 00178557,19/01/2023,Cliente: Consumidor Final (1),975,1,Stella Artois 975cc,820.0,21.0,820.0
3660,B 0003- 00178558,19/01/2023,Cliente: Consumidor Final (1),7893915,1,Cunnington Pomelo/Tonica 1.5l,270.0,21.0,270.0
3661,B 0003- 00178559,19/01/2023,Cliente: Consumidor Final (1),3647,2,lucky clic cool 12,310.0,21.0,620.0
3662,B 0003- 00178560,19/01/2023,Cliente: Consumidor Final (1),7894107,1,Schneider Lata 473ml,310.0,21.0,310.0
3663,B 0003- 00178561,19/01/2023,Cliente: Consumidor Final (1),9540831,1,monster the doctor 473cc,385.0,21.0,385.0
3664,B 0003- 00178561,19/01/2023,Cliente: Consumidor Final (1),1683,1,Gatorade Naranja 500cc,350.0,21.0,350.0
3665,B 0003- 00178562,19/01/2023,Cliente: Billetera (23),9541087,2,Clight Pomelo Rosado,65.0,21.0,130.0
3666,B 0003- 00178563,19/01/2023,Cliente: QR Morsa (22),7893803,1,Imperial Amber Lager 1 L,600.0,21.0,600.0
3667,B 0003- 00178563,19/01/2023,Cliente: QR Morsa (22),979,2,Brahma 970cc,540.0,21.0,1080.0
3668,B 0003- 00178563,19/01/2023,Cliente: QR Morsa (22),9540740,1,Mirinda 2.25L,370.0,21.0,370.0
3669,B 0003- 00178564,19/01/2023,Cliente: Consumidor Final (1),1516,1,Triple Grande Migamax,380.0,21.0,380.0
3670,B 0003- 00178565,19/01/2023,Cliente: QR Morsa (22),6266,1,Baggio Multifruta 1L,380.0,21.0,380.0
3671,B 0003- 00178565,19/01/2023,Cliente: QR Morsa (22),97,1,Guaymallen Blanco,110.0,21.0,110.0
3672,B 0003- 00178565,19/01/2023,Cliente: QR Morsa (22),21,1,Philip Morris KS,490.0,10.5,490.0
3673,B 0003- 00178565,19/01/2023,Cliente: QR Morsa (22),3651,1,Philip Morris Caps Box,540.0,21.0,540.0
3674,B 0003- 00178566,19/01/2023,Cliente: Consumidor Final (1),7893486,4,Turron Nevares,50.0,21.0,200.0
3675,B 0003- 00178567,19/01/2023,Cliente: Consumidor Final (1),7893486,1,Turron Nevares,50.0,21.0,50.0
3676,B 0003- 00178568,19/01/2023,Cliente: Consumidor Final (1),3544,1,Gatorade Manzana 500cc,350.0,21.0,350.0
3677,B 0003- 00178568,19/01/2023,Cliente: Consumidor Final (1),982,2,Quilmes Cristal 1L,540.0,21.0,1080.0
3678,B 0003- 00178569,19/01/2023,Cliente: Consumidor Final (1),21,1,Philip Morris KS,490.0,10.5,490.0
3679,B 0003- 00178570,19/01/2023,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,310.0,10.5,310.0
3680,B 0003- 00178571,19/01/2023,Cliente: Consumidor Final (1),20,1,Marlboro 10,350.0,10.5,350.0
3681,B 0003- 00178572,19/01/2023,Cliente: Consumidor Final (1),7791485,1,soda social tapa rosca x 2.25lts,140.0,21.0,140.0
3682,B 0003- 00178573,19/01/2023,Cliente: Consumidor Final (1),931,1,7UP Free 1.500cc,420.0,21.0,420.0
3683,B 0003- 00178574,19/01/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,310.0,21.0,310.0
3684,B 0003- 00178574,19/01/2023,Cliente: Consumidor Final (1),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,430.0,21.0,430.0
3685,B 0003- 00178575,19/01/2023,Cliente: Consumidor Final (1),7893899,1,Marlboro fusion blast box,550.0,21.0,550.0
3686,B 0003- 00178575,19/01/2023,Cliente: Consumidor Final (1),3517,1,Encendedor Candela,110.0,21.0,110.0
3687,B 0003- 00178576,19/01/2023,Cliente: Consumidor Final (1),31,1,lucky Strike 20KS,480.0,21.0,480.0
3688,B 0003- 00178577,19/01/2023,Cliente: Consumidor Final (1),7894616,1,Chesterfield fresh box,430.0,21.0,430.0
3689,B 0003- 00178577,19/01/2023,Cliente: Consumidor Final (1),7894735,1,Santa Fe Lata 473cc,290.0,21.0,290.0
3690,B 0003- 00178578,19/01/2023,Cliente: Consumidor Final (1),7894668,2,Marlboro Summer blast,550.0,21.0,1100.0
3691,B 0003- 00178578,19/01/2023,Cliente: Consumidor Final (1),24,1,Marlboro Gold,620.0,10.5,620.0
3692,B 0003- 00178578,19/01/2023,Cliente: Consumidor Final (1),30,1,Lucky Strike Box,540.0,10.5,540.0
3693,B 0003- 00178579,19/01/2023,Cliente: Consumidor Final (1),7893575,6,Lata Heineken 473 cm3,435.0,21.0,2610.0
3694,B 0003- 00178580,19/01/2023,Cliente: Consumidor Final (1),7894323,1,Pehuamar acanaladas 80grs,400.0,21.0,400.0
3695,B 0003- 00178580,19/01/2023,Cliente: Consumidor Final (1),7893780,1,mani pelado pehuamar x 85grs,370.0,21.0,370.0
3696,B 0003- 00178580,19/01/2023,Cliente: Consumidor Final (1),128,2,CERVEZA SANTA FE LITRO,555.0,21.0,1110.0
3697,B 0003- 00178581,19/01/2023,Cliente: Consumidor Final (1),23,1,Parliament Box,670.0,21.0,670.0
3698,B 0003- 00178582,19/01/2023,Cliente: Consumidor Final (1),7791419,1,Heineken Ret x 1L,900.0,21.0,900.0
3699,B 0003- 00178582,19/01/2023,Cliente: Consumidor Final (1),926,1,Paso de los Toros Tónica 1.500 cc,420.0,21.0,420.0
3700,B 0003- 00178583,19/01/2023,Cliente: Consumidor Final (1),7894231,1,Ades durazno 1 lt,180.0,21.0,180.0
3701,B 0003- 00178584,19/01/2023,Cliente: Billetera (23),903,1,coca cola retornable 2000,440.0,21.0,440.0
3702,B 0003- 00178584,19/01/2023,Cliente: Billetera (23),923,1,Brio Pomelo 1.5,150.0,21.0,150.0
3703,B 0003- 00178584,19/01/2023,Cliente: Billetera (23),7893720,1,Carbon Loeones,500.0,21.0,500.0
3704,B 0003- 00178584,19/01/2023,Cliente: Billetera (23),6626,1,Sprite 2.25 l,600.0,21.0,600.0
3705,B 0003- 00178584,19/01/2023,Cliente: Billetera (23),3647,2,lucky clic cool 12,310.0,21.0,620.0
3706,B 0003- 00178584,19/01/2023,Cliente: Billetera (23),128,3,CERVEZA SANTA FE LITRO,555.0,21.0,1665.0
3707,B 0003- 00178585,19/01/2023,Cliente: Consumidor Final (1),7791419,1,Heineken Ret x 1L,900.0,21.0,900.0
3708,B 0003- 00178585,19/01/2023,Cliente: Consumidor Final (1),17,6,Adicional Bebida en la mesa,5.0,21.0,30.0
3709,B 0003- 00178586,19/01/2023,Cliente: Consumidor Final (1),7893899,1,Marlboro fusion blast box,550.0,21.0,550.0
3710,B 0003- 00178587,19/01/2023,Cliente: Billetera (23),931,1,7UP Free 1.500cc,420.0,21.0,420.0
3711,B 0003- 00178588,19/01/2023,Cliente: Consumidor Final (1),99,1,Alfajor Fantoche Triple Chocolate,150.0,21.0,150.0
3712,B 0003- 00178588,19/01/2023,Cliente: Consumidor Final (1),931,1,7UP Free 1.500cc,420.0,21.0,420.0
3713,B 0003- 00178588,19/01/2023,Cliente: Consumidor Final (1),289,1,salchichas paty viena 190g,190.0,21.0,190.0
3714,B 0003- 00178588,19/01/2023,Cliente: Consumidor Final (1),7893611,1,Pan de Panchos Bimbo,260.0,21.0,260.0
3715,B 0003- 00178588,19/01/2023,Cliente: Consumidor Final (1),68,1,PIZZA RUCULA/3QUESOS/ANANA/POLLO,440.0,21.0,440.0
3716,B 0003- 00178589,19/01/2023,Cliente: Consumidor Final (1),6191,1,Pepsi 2L Retornable,350.0,21.0,350.0
3717,B 0003- 00178590,19/01/2023,Cliente: Consumidor Final (1),1683,1,Gatorade Naranja 500cc,350.0,21.0,350.0
3718,B 0003- 00178590,19/01/2023,Cliente: Consumidor Final (1),1521,1,Carlitos Migamax,450.0,21.0,450.0
3719,B 0003- 00178590,19/01/2023,Cliente: Consumidor Final (1),106,1,ENSALADA DE FRUTA,260.0,21.0,260.0
3720,B 0003- 00178591,19/01/2023,Cliente: Consumidor Final (1),903,1,coca cola retornable 2000,440.0,21.0,440.0
3721,B 0003- 00178591,19/01/2023,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,540.0,21.0,540.0
3722,B 0003- 00178592,19/01/2023,Cliente: Consumidor Final (1),7791419,1,Heineken Ret x 1L,900.0,21.0,900.0
3723,B 0003- 00178592,19/01/2023,Cliente: Consumidor Final (1),17,6,Adicional Bebida en la mesa,5.0,21.0,30.0
3724,B 0003- 00178593,19/01/2023,Cliente: Consumidor Final (1),1521,1,Carlitos Migamax,450.0,21.0,450.0
3725,B 0003- 00178593,19/01/2023,Cliente: Consumidor Final (1),9541068,1,chesterfild remix fresh 20ks,400.0,21.0,400.0
3726,B 0003- 00178594,19/01/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,310.0,21.0,310.0
3727,B 0003- 00178595,19/01/2023,Cliente: Billetera (23),7791419,1,Heineken Ret x 1L,900.0,21.0,900.0
3728,B 0003- 00178595,19/01/2023,Cliente: Billetera (23),17,6,Adicional Bebida en la mesa,5.0,21.0,30.0
3729,B 0003- 00178596,19/01/2023,Cliente: QR Morsa (22),7894735,6,Santa Fe Lata 473cc,290.0,21.0,1740.0
3730,B 0003- 00178597,19/01/2023,Cliente: Consumidor Final (1),6191,1,Pepsi 2L Retornable,350.0,21.0,350.0
3731,B 0003- 00178598,19/01/2023,Cliente: Consumidor Final (1),17,6,Adicional Bebida en la mesa,5.0,21.0,30.0
3732,B 0003- 00178598,19/01/2023,Cliente: Consumidor Final (1),7791419,1,Heineken Ret x 1L,900.0,21.0,900.0
3733,B 0003- 00178599,19/01/2023,Cliente: Consumidor Final (1),866,1,Bizcochos 9 de Oro clásicas 200g,190.0,21.0,190.0
3734,B 0003- 00178600,19/01/2023,Cliente: Consumidor Final (1),9540415,1,Corona 710cm Grande,700.0,21.0,700.0
3735,B 0003- 00178601,19/01/2023,Cliente: Consumidor Final (1),6505,1,Andes Ipa Litro,630.0,21.0,630.0
3736,B 0003- 00178601,19/01/2023,Cliente: Consumidor Final (1),9540940,2,lays MESSI GOAT queso y pimenta 85g,550.0,21.0,1100.0
3737,B 0003- 00178602,20/01/2023,Cliente: Consumidor Final (1),983,2,Quilmes Lata 473cc,320.0,21.0,640.0
3738,B 0003- 00178603,20/01/2023,Cliente: Consumidor Final (1),22,1,Philip Morris Box,540.0,21.0,540.0
3739,B 0003- 00178604,20/01/2023,Cliente: Consumidor Final (1),6857,1,Barrita frutos secos fit mix,160.0,21.0,160.0
3740,B 0003- 00178605,20/01/2023,Cliente: Consumidor Final (1),22,1,Philip Morris Box,540.0,21.0,540.0
3741,B 0003- 00178606,20/01/2023,Cliente: Consumidor Final (1),1658,1,Citric 1000cc,490.0,21.0,490.0
3742,B 0003- 00178607,20/01/2023,Cliente: Consumidor Final (1),1,1,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,10.0
3743,B 0003- 00178607,20/01/2023,Cliente: Consumidor Final (1),89,1,Alfajor Milka Dulce de Leche,220.0,21.0,220.0
3744,B 0003- 00178608,20/01/2023,Cliente: Consumidor Final (1),3602,1,villavicencio 500cc,150.0,21.0,150.0
3745,B 0003- 00178608,20/01/2023,Cliente: Consumidor Final (1),6264,1,Baggio Naranja 200cc,110.0,21.0,110.0
3746,B 0003- 00178608,20/01/2023,Cliente: Consumidor Final (1),3499,4,Desayuno con 2 tostadas p/llevar,80.0,21.0,320.0
3747,B 0003- 00178608,20/01/2023,Cliente: Consumidor Final (1),3505,2,Medialuna/Bizcocho,90.0,21.0,180.0
3748,B 0003- 00178609,20/01/2023,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0
3749,B 0003- 00178609,20/01/2023,Cliente: Consumidor Final (1),1,2,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,20.0
3750,B 0003- 00178610,20/01/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,310.0,21.0,310.0
3751,B 0003- 00178611,20/01/2023,Cliente: Billetera (23),6265,1,Baggio Manzana 200cc,115.0,21.0,115.0
3752,B 0003- 00178611,20/01/2023,Cliente: Billetera (23),1668,1,yogur firme frutilla 190g,160.0,21.0,160.0
3753,B 0003- 00178611,20/01/2023,Cliente: Billetera (23),7791402,1,Yummy animalitos,80.0,21.0,80.0
3754,B 0003- 00178611,20/01/2023,Cliente: Billetera (23),986,1,Habanitos Terrabusi 60 gr,300.0,21.0,300.0
3755,B 0003- 00178611,20/01/2023,Cliente: Billetera (23),3502,1,Cafe jarra,160.0,21.0,160.0
3756,B 0003- 00178611,20/01/2023,Cliente: Billetera (23),3505,3,Medialuna/Bizcocho,90.0,21.0,270.0
3757,B 0003- 00178612,20/01/2023,Cliente: Consumidor Final (1),1,4,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,40.0
3758,B 0003- 00178612,20/01/2023,Cliente: Consumidor Final (1),7791581,1,Chocolate Vauquita Suave,60.0,21.0,60.0
3759,B 0003- 00178612,20/01/2023,Cliente: Consumidor Final (1),260,1,levite pera zero 500cc,180.0,21.0,180.0
3760,B 0003- 00178612,20/01/2023,Cliente: Consumidor Final (1),3508,1,Café para llevar,200.0,21.0,200.0
3761,B 0003- 00178612,20/01/2023,Cliente: Consumidor Final (1),1,2,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,20.0
3762,B 0003- 00178613,20/01/2023,Cliente: Consumidor Final (1),7894501,1,Pepsi lata,140.0,21.0,140.0
3763,B 0003- 00178614,20/01/2023,Cliente: Consumidor Final (1),20,1,Marlboro 10,350.0,10.5,350.0
3764,B 0003- 00178615,20/01/2023,Cliente: Consumidor Final (1),97,1,Guaymallen Blanco,110.0,21.0,110.0
3765,B 0003- 00178616,20/01/2023,Cliente: Consumidor Final (1),7894735,1,Santa Fe Lata 473cc,290.0,21.0,290.0
3766,B 0003- 00178617,20/01/2023,Cliente: Consumidor Final (1),9541084,1,cigarrillos pier 10box,120.0,21.0,120.0
3767,B 0003- 00178618,20/01/2023,Cliente: Consumidor Final (1),9540524,1,Rothmans ks mentolado,410.0,21.0,410.0
3768,B 0003- 00178619,20/01/2023,Cliente: Consumidor Final (1),195,1,Cereal Mix Yoghurt Frutilla Light,120.0,21.0,120.0
3769,B 0003- 00178620,20/01/2023,Cliente: Consumidor Final (1),1669,1,yogur firme vainilla  190g,160.0,21.0,160.0
3770,B 0003- 00178621,20/01/2023,Cliente: Consumidor Final (1),1514,2,Triple Miga Chico Migamax,330.0,21.0,660.0
3771,B 0003- 00178622,20/01/2023,Cliente: Consumidor Final (1),6598,1,LEVITE CERO MANZANA 500CC,180.0,21.0,180.0
3772,B 0003- 00178623,20/01/2023,Cliente: Consumidor Final (1),18,1,MARLBORO KS,540.0,10.5,540.0
3773,B 0003- 00178624,20/01/2023,Cliente: QR Nico (21),9541101,2,9 oro Avena 120gr,165.0,21.0,330.0
3774,B 0003- 00178624,20/01/2023,Cliente: QR Nico (21),241,1,Prime texturado,450.0,21.0,450.0
3775,B 0003- 00178625,20/01/2023,Cliente: Consumidor Final (1),6818,1,levite cero de pomelo 1.5,320.0,21.0,320.0
3776,B 0003- 00178625,20/01/2023,Cliente: Consumidor Final (1),1,6,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,60.0
3777,B 0003- 00178626,20/01/2023,Cliente: Consumidor Final (1),6631,1,Andes IPA Lata 473cc,330.0,21.0,330.0
3778,B 0003- 00178627,20/01/2023,Cliente: Consumidor Final (1),1521,1,Carlitos Migamax,450.0,21.0,450.0
3779,B 0003- 00178628,20/01/2023,Cliente: Consumidor Final (1),1516,2,Triple Grande Migamax,380.0,21.0,760.0
3780,B 0003- 00178628,20/01/2023,Cliente: Consumidor Final (1),905,1,Sprite 500cc,220.0,21.0,220.0
3781,B 0003- 00178629,20/01/2023,Cliente: Consumidor Final (1),931,1,7UP Free 1.500cc,420.0,21.0,420.0
3782,B 0003- 00178629,20/01/2023,Cliente: Consumidor Final (1),7893915,1,Cunnington Pomelo/Tonica 1.5l,270.0,21.0,270.0
3783,B 0003- 00178630,20/01/2023,Cliente: Consumidor Final (1),3517,2,Encendedor Candela,110.0,21.0,220.0
3784,B 0003- 00178631,20/01/2023,Cliente: Consumidor Final (1),7895178,1,Liverpool suave,200.0,21.0,200.0
3785,B 0003- 00178632,20/01/2023,Cliente: Consumidor Final (1),6286,1,Gatorade Naranja 1250cc,700.0,21.0,700.0
3786,B 0003- 00178632,20/01/2023,Cliente: Consumidor Final (1),1589,1,TURRON ARCOR,50.0,21.0,50.0
3787,B 0003- 00178632,20/01/2023,Cliente: Consumidor Final (1),6600,1,"Levite Manzana Cero 1,5 lt",190.0,21.0,190.0
3788,B 0003- 00178632,20/01/2023,Cliente: Consumidor Final (1),1,9,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,90.0
3789,B 0003- 00178632,20/01/2023,Cliente: Consumidor Final (1),1,10,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,100.0
3790,B 0003- 00178633,20/01/2023,Cliente: QR Nico (21),1,10,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,100.0
3791,B 0003- 00178633,20/01/2023,Cliente: QR Nico (21),7895242,1,Filtros OCB Slim 120 unidades,95.0,21.0,95.0
3792,B 0003- 00178633,20/01/2023,Cliente: QR Nico (21),1,7,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,70.0
3793,B 0003- 00178634,20/01/2023,Cliente: Consumidor Final (1),260,1,levite pera zero 500cc,180.0,21.0,180.0
3794,B 0003- 00178635,20/01/2023,Cliente: Consumidor Final (1),1,24,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,240.0
3795,B 0003- 00178636,20/01/2023,Cliente: Consumidor Final (1),3651,1,Philip Morris Caps Box,540.0,21.0,540.0
3796,B 0003- 00178636,20/01/2023,Cliente: Consumidor Final (1),6705,1,petaca vodka derna,290.0,21.0,290.0
3797,B 0003- 00178637,20/01/2023,Cliente: Consumidor Final (1),7895013,1,Lays jamon serrano 85g,550.0,21.0,550.0
3798,B 0003- 00178637,20/01/2023,Cliente: Consumidor Final (1),6818,1,levite cero de pomelo 1.5,320.0,21.0,320.0
3799,B 0003- 00178638,20/01/2023,Cliente: Agus (24),7895023,1,Leche entera Tregar,250.0,21.0,250.0
3800,B 0003- 00178638,20/01/2023,Cliente: Agus (24),9540778,1,Oreo Clasica 118grs,305.0,21.0,305.0
3801,B 0003- 00178638,20/01/2023,Cliente: Agus (24),7791581,3,Chocolate Vauquita Suave,60.0,21.0,180.0
3802,B 0003- 00178639,20/01/2023,Cliente: Consumidor Final (1),9540424,1,Pan Para Hamburguesas Bimbo,320.0,21.0,320.0
3803,B 0003- 00178639,20/01/2023,Cliente: Consumidor Final (1),7893720,1,Carbon Loeones,500.0,21.0,500.0
3804,B 0003- 00178639,20/01/2023,Cliente: Consumidor Final (1),7894957,1,Paty express x 4 276g,500.0,21.0,500.0
3805,B 0003- 00178640,20/01/2023,Cliente: Consumidor Final (1),898,1,Coca Cola 1250cc Retornable,340.0,21.0,340.0
3806,B 0003- 00178641,20/01/2023,Cliente: Consumidor Final (1),1645,1,Pepsi 500cc,190.0,21.0,190.0
3807,B 0003- 00178642,20/01/2023,Cliente: Billetera (23),6191,1,Pepsi 2L Retornable,350.0,21.0,350.0
3808,B 0003- 00178642,20/01/2023,Cliente: Billetera (23),7895023,1,Leche entera Tregar,250.0,21.0,250.0
