,n_comprobante,fecha,cliente,codigo,cantidad,descripcion,p_unitario,iva,precio_final,rubro
8854,B 0003- 00181648,2023-02-12,Cliente: QR Nico (21),7894771,1,Mirinda 250cc,175.0,21.0,175.0,pepsi (309)
8855,B 0003- 00181648,2023-02-12,Cliente: QR Nico (21),6775,1,7up 500cc,210.0,21.0,210.0,pepsi (309)
8856,B 0003- 00181648,2023-02-12,Cliente: QR Nico (21),3647,1,lucky clic cool 12,310.0,21.0,310.0,cigarrillos
8857,B 0003- 00181649,2023-02-12,Cliente: Consumidor Final (1),7894735,1,Santa Fe Lata 473cc,340.0,21.0,340.0,cervezas (26)
8858,B 0003- 00181650,2023-02-12,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,230.0,21.0,230.0,coca cola (308)
8859,B 0003- 00181651,2023-02-12,Cliente: Consumidor Final (1),9540576,6,paracetamol x unidad,10.0,0.0,60.0,perfumeria (16)
8860,B 0003- 00181652,2023-02-12,Cliente: Consumidor Final (1),7894107,1,Schneider Lata 473ml,330.0,21.0,330.0,cervezas (26)
8861,B 0003- 00181653,2023-02-12,Cliente: Consumidor Final (1),2,1,Cigarrillos Suelto lucky,30.0,21.0,30.0,cigarrillos
8862,B 0003- 00181653,2023-02-12,Cliente: Consumidor Final (1),2,1,Cigarrillos Suelto lucky,30.0,21.0,30.0,cigarrillos
8863,B 0003- 00181654,2023-02-12,Cliente: QR Nico (21),1,4,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,40.0,caramelos (32)
8864,B 0003- 00181654,2023-02-12,Cliente: QR Nico (21),6740,1,Imperial Golden 1L,660.0,21.0,660.0,cervezas (26)
8865,B 0003- 00181655,2023-02-12,Cliente: Consumidor Final (1),7894981,1,Palitos San Isidrio 150g Panceta,180.0,21.0,180.0,snack (306)
8866,B 0003- 00181656,2023-02-12,Cliente: Consumidor Final (1),983,1,Quilmes Lata 473cc,320.0,21.0,320.0,quilmes (312)
8867,B 0003- 00181657,2023-02-12,Cliente: Consumidor Final (1),1624,1,Coca Cola Zero x 500 cc,230.0,21.0,230.0,coca cola (308)
8868,B 0003- 00181658,2023-02-12,Cliente: Consumidor Final (1),65,2,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,480.0,21.0,960.0,comida (30)
8869,B 0003- 00181658,2023-02-12,Cliente: Consumidor Final (1),9540804,2,Clight naranja dulce,50.0,21.0,100.0,almacen (15)
8870,B 0003- 00181658,2023-02-12,Cliente: Consumidor Final (1),983,1,Quilmes Lata 473cc,320.0,21.0,320.0,quilmes (312)
8871,B 0003- 00181659,2023-02-12,Cliente: Consumidor Final (1),6594,1,Don Satur azucaradas,190.0,21.0,190.0,9999
8872,B 0003- 00181659,2023-02-12,Cliente: Consumidor Final (1),7894932,1,rollitos mogul acidos,90.0,21.0,90.0,golosinas
8873,B 0003- 00181660,2023-02-12,Cliente: QR Nico (21),1672,1,Monster Mango Loco 473ml,420.0,21.0,420.0,energizantes (314)
8874,B 0003- 00181661,2023-02-12,Cliente: Consumidor Final (1),128,1,CERVEZA SANTA FE LITRO,600.0,21.0,600.0,cervezas (26)
8875,B 0003- 00181662,2023-02-12,Cliente: Consumidor Final (1),6804,1,Levite Manzana 500,190.0,21.0,190.0,levite (310)
8876,B 0003- 00181662,2023-02-12,Cliente: Consumidor Final (1),294,1,Copos Pedrin 80g,300.0,21.0,300.0,pedrin (25)
8877,B 0003- 00181663,2023-02-12,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,310.0,10.5,310.0,cigarrillos
8878,B 0003- 00181663,2023-02-12,Cliente: Consumidor Final (1),7791656,1,Fanta 2L Retornable,440.0,21.0,440.0,coca cola (308)
8879,B 0003- 00181664,2023-02-12,Cliente: Consumidor Final (1),6341,1,Bon Aqua 500cc,200.0,21.0,200.0,coca cola (308)
8880,B 0003- 00181665,2023-02-12,Cliente: Consumidor Final (1),6070,1,Paso de los Toros Pomelo 500cc,210.0,21.0,210.0,pepsi (309)
8881,B 0003- 00181666,2023-02-12,Cliente: Consumidor Final (1),19,2,Marlboro Box,620.0,21.0,1240.0,cigarrillos
8882,B 0003- 00181666,2023-02-12,Cliente: Consumidor Final (1),983,1,Quilmes Lata 473cc,320.0,21.0,320.0,quilmes (312)
8883,B 0003- 00181667,2023-02-12,Cliente: Billetera (23),6740,2,Imperial Golden 1L,660.0,21.0,1320.0,cervezas (26)
8884,B 0003- 00181667,2023-02-12,Cliente: Billetera (23),9540656,1,Mani Con Cascara 200gr el buho,270.0,21.0,270.0,snack (306)
8885,B 0003- 00181667,2023-02-12,Cliente: Billetera (23),1571,1,tabaco las hojas premio sin adictivos 30g,730.0,21.0,730.0,cigarrillos
8886,B 0003- 00181668,2023-02-12,Cliente: Consumidor Final (1),898,1,Coca Cola 1250cc Retornable,350.0,21.0,350.0,coca cola (308)
8887,B 0003- 00181669,2023-02-12,Cliente: QR Nico (21),6611,1,Speed 500ML,360.0,21.0,360.0,energizantes (314)
8888,B 0003- 00181669,2023-02-12,Cliente: QR Nico (21),6603,1,Sprite lata 310 cc,180.0,21.0,180.0,coca cola (308)
8889,B 0003- 00181669,2023-02-12,Cliente: QR Nico (21),6631,1,Andes IPA Lata 473cc,340.0,21.0,340.0,quilmes (312)
8890,B 0003- 00181670,2023-02-12,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,230.0,21.0,230.0,coca cola (308)
8891,B 0003- 00181671,2023-02-12,Cliente: Consumidor Final (1),982,1,Quilmes Cristal 1L,540.0,21.0,540.0,9999
8892,B 0003- 00181671,2023-02-12,Cliente: Consumidor Final (1),1,4,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,40.0,caramelos (32)
8893,B 0003- 00181672,2023-02-12,Cliente: Consumidor Final (1),3651,1,Philip Morris Caps Box,540.0,21.0,540.0,cigarrillos
8894,B 0003- 00181673,2023-02-12,Cliente: Consumidor Final (1),93,1,Alfajor Terrabusi Simple Negro,170.0,21.0,170.0,9999
8895,B 0003- 00181674,2023-02-12,Cliente: Consumidor Final (1),9541095,1,Tirabuzon Knorr,190.0,21.0,190.0,9999
8896,B 0003- 00181674,2023-02-12,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,310.0,21.0,310.0,cigarrillos
8897,B 0003- 00181675,2023-02-12,Cliente: Consumidor Final (1),6309,1,Twistos  Quesos 40 g,220.0,21.0,220.0,lays (24)
8898,B 0003- 00181675,2023-02-12,Cliente: Consumidor Final (1),7893899,1,Marlboro fusion blast box,550.0,21.0,550.0,cigarrillos
8899,B 0003- 00181676,2023-02-12,Cliente: Consumidor Final (1),6619,1,Papas pedrin clasica  70g,300.0,21.0,300.0,9999
8900,B 0003- 00181677,2023-02-12,Cliente: Consumidor Final (1),6674,1,imperial rubia lata,370.0,21.0,370.0,cervezas (26)
8901,B 0003- 00181678,2023-02-12,Cliente: Consumidor Final (1),7894392,1,Pico Dulce Chupeton,60.0,21.0,60.0,caramelos (32)
8902,B 0003- 00181678,2023-02-12,Cliente: Consumidor Final (1),7894591,1,chesterfield ks 20,400.0,21.0,400.0,cigarrillos
8903,B 0003- 00181679,2023-02-12,Cliente: Consumidor Final (1),1,25,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,250.0,caramelos (32)
8904,B 0003- 00181679,2023-02-12,Cliente: Consumidor Final (1),9540580,5,cerveza SALTA CAUTIVA 473cc,310.0,21.0,1550.0,cervezas (26)
8905,B 0003- 00181680,2023-02-12,Cliente: Consumidor Final (1),983,1,Quilmes Lata 473cc,320.0,21.0,320.0,quilmes (312)
8906,B 0003- 00181681,2023-02-12,Cliente: Consumidor Final (1),13,2,Philip Morris 10,310.0,10.5,620.0,cigarrillos
8907,B 0003- 00181682,2023-02-12,Cliente: Consumidor Final (1),927,1,Pepsi 1.500cc,420.0,21.0,420.0,pepsi (309)
8908,B 0003- 00181683,2023-02-12,Cliente: Consumidor Final (1),7895193,1,Leche descremada La Serenisima 1l,320.0,21.0,320.0,lacteos (28)
8909,B 0003- 00181684,2023-02-12,Cliente: QR Nico (21),9540425,1,Paso de los toros Tonica Lata 269ml,120.0,21.0,120.0,pepsi (309)
8910,B 0003- 00181684,2023-02-12,Cliente: QR Nico (21),14,1,Lucky Strike 12,310.0,10.5,310.0,cigarrillos
8911,B 0003- 00181684,2023-02-12,Cliente: QR Nico (21),1,2,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,20.0,caramelos (32)
8912,B 0003- 00181684,2023-02-12,Cliente: QR Nico (21),9540735,1,Lucky box convertible 20,540.0,21.0,540.0,cigarrillos
8913,B 0003- 00181685,2023-02-12,Cliente: Consumidor Final (1),2,3,Cigarrillos Suelto lucky,30.0,21.0,90.0,cigarrillos
8914,B 0003- 00181686,2023-02-12,Cliente: Consumidor Final (1),7791469,2,Ibu 600  x unidad,40.0,21.0,80.0,perfumeria (16)
8915,B 0003- 00181687,2023-02-12,Cliente: QR Nico (21),7893855,1,Arroz Gallo Oro 500g,190.0,21.0,190.0,almacen (15)
8916,B 0003- 00181687,2023-02-12,Cliente: QR Nico (21),7791748,1,Schweppes Agua Tonica 1500 cc,520.0,21.0,520.0,coca cola (308)
8917,B 0003- 00181688,2023-02-12,Cliente: Consumidor Final (1),2,3,Cigarrillos Suelto lucky,30.0,21.0,90.0,cigarrillos
8918,B 0003- 00181688,2023-02-12,Cliente: Consumidor Final (1),9540942,1,levite fizz pomelo 575ml,160.0,21.0,160.0,levite (310)
8919,B 0003- 00181689,2023-02-12,Cliente: Consumidor Final (1),88,1,alfajor Trii Shot,245.0,21.0,245.0,alfajores (5)
8920,B 0003- 00181690,2023-02-12,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,230.0,21.0,230.0,coca cola (308)
8921,B 0003- 00181690,2023-02-12,Cliente: Consumidor Final (1),7894730,1,7UP 250 cc,175.0,21.0,175.0,pepsi (309)
8922,B 0003- 00181690,2023-02-12,Cliente: Consumidor Final (1),243,1,prime super fino,530.0,21.0,530.0,preservativos (27)
8923,B 0003- 00181691,2023-02-12,Cliente: Consumidor Final (1),7893575,1,Lata Heineken 473 cm3,480.0,21.0,480.0,cervezas (26)
8924,B 0003- 00181691,2023-02-12,Cliente: Consumidor Final (1),983,1,Quilmes Lata 473cc,320.0,21.0,320.0,quilmes (312)
8925,B 0003- 00181692,2023-02-12,Cliente: Consumidor Final (1),113,2,Chocolate Shot 35g,190.0,21.0,380.0,chocolates (4)
8926,B 0003- 00181692,2023-02-12,Cliente: Consumidor Final (1),30,1,Lucky Strike Box,540.0,10.5,540.0,cigarrillos
8927,B 0003- 00181693,2023-02-12,Cliente: Consumidor Final (1),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,480.0,21.0,480.0,comida (30)
8928,B 0003- 00181693,2023-02-12,Cliente: Consumidor Final (1),5996,1,Manitoon Clasico 160g,250.0,21.0,250.0,snack (306)
8929,B 0003- 00181693,2023-02-12,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,540.0,21.0,540.0,cigarrillos
8930,B 0003- 00181693,2023-02-12,Cliente: Consumidor Final (1),6505,1,Andes Ipa Litro,630.0,21.0,630.0,quilmes (312)
8931,B 0003- 00181693,2023-02-12,Cliente: Consumidor Final (1),7895038,1,Andes 1 Litro Rubia,630.0,21.0,630.0,quilmes (312)
8932,B 0003- 00181693,2023-02-12,Cliente: Consumidor Final (1),7791739,1,Lays clásicas 140g,160.0,21.0,160.0,9999
8933,B 0003- 00181694,2023-02-12,Cliente: Consumidor Final (1),7791485,1,soda social tapa rosca x 2.25lts,160.0,21.0,160.0,agua mineral (21)
8934,B 0003- 00181695,2023-02-12,Cliente: Consumidor Final (1),6674,2,imperial rubia lata,370.0,21.0,740.0,cervezas (26)
8935,B 0003- 00181695,2023-02-12,Cliente: Consumidor Final (1),31,1,lucky Strike 20KS,480.0,21.0,480.0,cigarrillos
8936,B 0003- 00181696,2023-02-12,Cliente: Consumidor Final (1),897,1,Coca Cola 1000 cc,360.0,21.0,360.0,coca cola (308)
8937,B 0003- 00181696,2023-02-12,Cliente: Consumidor Final (1),222,1,Queso Rallado La Serenisima 35g,250.0,21.0,250.0,lacteos (28)
8938,B 0003- 00181697,2023-02-12,Cliente: Consumidor Final (1),7893728,1,Natura mayonesa 125 cm3,190.0,21.0,190.0,aderezos (12)
8939,B 0003- 00181698,2023-02-12,Cliente: Consumidor Final (1),7894679,1,Lays clasicas 45grs,280.0,21.0,280.0,lays (24)
8940,B 0003- 00181698,2023-02-12,Cliente: Consumidor Final (1),291,1,Papas Pedrin 70g,375.0,21.0,375.0,pedrin (25)
8941,B 0003- 00181698,2023-02-12,Cliente: Consumidor Final (1),7895026,1,Queso Untable clasico tonadita 190g,330.0,21.0,330.0,lacteos (28)
8942,B 0003- 00181699,2023-02-12,Cliente: Consumidor Final (1),7791599,1,Alfajor Milka Torta Oreo,245.0,21.0,245.0,alfajores (5)
8943,B 0003- 00181699,2023-02-12,Cliente: Consumidor Final (1),899,1,Coca Cola 1500 cc,520.0,21.0,520.0,coca cola (308)
8944,B 0003- 00181699,2023-02-12,Cliente: Consumidor Final (1),91,1,Alfajor Terrabusi Torta x3,245.0,21.0,245.0,alfajores (5)
8945,B 0003- 00181699,2023-02-12,Cliente: Consumidor Final (1),57,1,Mogul Rollo,90.0,21.0,90.0,golosinas
8946,B 0003- 00181700,2023-02-12,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,310.0,10.5,310.0,cigarrillos
8947,B 0003- 00181701,2023-02-12,Cliente: Consumidor Final (1),7894689,1,Filtros de carton ocb,110.0,21.0,110.0,cigarrillos
8948,B 0003- 00181701,2023-02-12,Cliente: Consumidor Final (1),6057,1,OCB negros,240.0,21.0,240.0,cigarrillos
8949,B 0003- 00181702,2023-02-12,Cliente: Consumidor Final (1),7894176,1,Bon aqua 500 ml con gas,200.0,21.0,200.0,coca cola (308)
8950,B 0003- 00181703,2023-02-13,Cliente: Consumidor Final (1),6371,1,chocolatada tregar x 200ml,190.0,21.0,190.0,lacteos (28)
8951,B 0003- 00181704,2023-02-13,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,310.0,10.5,310.0,cigarrillos
8952,B 0003- 00181704,2023-02-13,Cliente: Consumidor Final (1),1,2,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,20.0,caramelos (32)
8953,B 0003- 00181705,2023-02-13,Cliente: Consumidor Final (1),7791430,1,Biscochos Gallo Salados x 100g,220.0,21.0,220.0,9999
8954,B 0003- 00181706,2023-02-13,Cliente: Consumidor Final (1),6697,1,Cerealitas Clasicas 200g,300.0,21.0,300.0,galletitas (9)
8955,B 0003- 00181706,2023-02-13,Cliente: Consumidor Final (1),867,1,Bizcochos 9 de oro Agridulces 200g,190.0,21.0,190.0,galletitas (9)
8956,B 0003- 00181707,2023-02-13,Cliente: Consumidor Final (1),3509,1,Desayuno  para llevar con 2 facturas,350.0,21.0,350.0,comida (30)
8957,B 0003- 00181707,2023-02-13,Cliente: Consumidor Final (1),983,1,Quilmes Lata 473cc,320.0,21.0,320.0,quilmes (312)
8958,B 0003- 00181708,2023-02-13,Cliente: Consumidor Final (1),3517,2,Encendedor Candela,110.0,21.0,220.0,encendedores (307)
8959,B 0003- 00181709,2023-02-13,Cliente: Consumidor Final (1),3666,1,Speed Chico 250cc,270.0,21.0,270.0,energizantes (314)
8960,B 0003- 00181710,2023-02-13,Cliente: Consumidor Final (1),54,1,Lenguitas Maria Lujan Savores Varios,240.0,21.0,240.0,snack (306)
8961,B 0003- 00181711,2023-02-13,Cliente: Consumidor Final (1),9540882,1,Toro clasico blanco 750 ml,450.0,21.0,450.0,vinos (302)
8962,B 0003- 00181711,2023-02-13,Cliente: Consumidor Final (1),22,1,Philip Morris Box,540.0,21.0,540.0,cigarrillos
8963,B 0003- 00181712,2023-02-13,Cliente: Consumidor Final (1),7894591,1,chesterfield ks 20,400.0,21.0,400.0,cigarrillos
8964,B 0003- 00181713,2023-02-13,Cliente: Consumidor Final (1),7893486,2,Turron Nevares,50.0,21.0,100.0,golosinas
8965,B 0003- 00181714,2023-02-13,Cliente: Consumidor Final (1),19,1,Marlboro Box,620.0,21.0,620.0,cigarrillos
8966,B 0003- 00181715,2023-02-13,Cliente: Consumidor Final (1),983,2,Quilmes Lata 473cc,320.0,21.0,640.0,quilmes (312)
8967,B 0003- 00181716,2023-02-13,Cliente: QR Nico (21),6723,1,Pepitos Original 119 gr,320.0,21.0,320.0,galletitas (9)
8968,B 0003- 00181716,2023-02-13,Cliente: QR Nico (21),94,1,Milka Mousse Blanco x3,245.0,21.0,245.0,alfajores (5)
8969,B 0003- 00181716,2023-02-13,Cliente: QR Nico (21),7791599,1,Alfajor Milka Torta Oreo,245.0,21.0,245.0,alfajores (5)
8970,B 0003- 00181717,2023-02-13,Cliente: Consumidor Final (1),1589,1,TURRON ARCOR,50.0,21.0,50.0,golosinas
8971,B 0003- 00181718,2023-02-13,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0,comida (30)
8972,B 0003- 00181718,2023-02-13,Cliente: Consumidor Final (1),3505,1,Medialuna/Bizcocho,90.0,21.0,90.0,9999
8973,B 0003- 00181719,2023-02-13,Cliente: QR Nico (21),9541120,4,Jugo del valle 200cc Multifruta,90.0,21.0,360.0,9999
8974,B 0003- 00181719,2023-02-13,Cliente: QR Nico (21),3502,1,Cafe jarra,160.0,21.0,160.0,comida (30)
8975,B 0003- 00181719,2023-02-13,Cliente: QR Nico (21),6803,2,Levite Naranja 500c,190.0,21.0,380.0,levite (310)
8976,B 0003- 00181720,2023-02-13,Cliente: Consumidor Final (1),3509,1,Desayuno  para llevar con 2 facturas,350.0,21.0,350.0,comida (30)
8977,B 0003- 00181720,2023-02-13,Cliente: Consumidor Final (1),3508,1,Café para llevar,200.0,21.0,200.0,comida (30)
8978,B 0003- 00181721,2023-02-13,Cliente: Consumidor Final (1),3505,4,Medialuna/Bizcocho,90.0,21.0,360.0,9999
8979,B 0003- 00181722,2023-02-13,Cliente: QR Nico (21),7894591,1,chesterfield ks 20,400.0,21.0,400.0,cigarrillos
8980,B 0003- 00181722,2023-02-13,Cliente: QR Nico (21),6795,1,cafe en saquito la virginia x 5grs,50.0,21.0,50.0,almacen (15)
8981,B 0003- 00181723,2023-02-13,Cliente: Consumidor Final (1),6200,1,Topline 7 Strong,110.0,21.0,110.0,chiclets (6)
8982,B 0003- 00181724,2023-02-13,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0,comida (30)
8983,B 0003- 00181724,2023-02-13,Cliente: Consumidor Final (1),7894758,1,soda social SIFON descartable,240.0,21.0,240.0,agua mineral (21)
8984,B 0003- 00181725,2023-02-13,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,310.0,10.5,310.0,cigarrillos
8985,B 0003- 00181725,2023-02-13,Cliente: Consumidor Final (1),997,1,alfajor sin culpa maicena 70g,220.0,21.0,220.0,alfajores (5)
8986,B 0003- 00181726,2023-02-13,Cliente: Consumidor Final (1),7893671,1,fit mix  granola  bolsita,295.0,21.0,295.0,9999
8987,B 0003- 00181726,2023-02-13,Cliente: Consumidor Final (1),7894348,1,Lina con alas,285.0,21.0,285.0,perfumeria (16)
8988,B 0003- 00181726,2023-02-13,Cliente: Consumidor Final (1),991,1,yogur con cereal light serenisima,250.0,21.0,250.0,lacteos (28)
8989,B 0003- 00181727,2023-02-13,Cliente: Consumidor Final (1),983,1,Quilmes Lata 473cc,320.0,21.0,320.0,quilmes (312)
8990,B 0003- 00181728,2023-02-13,Cliente: Consumidor Final (1),24,1,Marlboro Gold,620.0,10.5,620.0,cigarrillos
8991,B 0003- 00181729,2023-02-13,Cliente: Consumidor Final (1),2,4,Cigarrillos Suelto lucky,30.0,21.0,120.0,cigarrillos
8992,B 0003- 00181730,2023-02-13,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,230.0,21.0,230.0,coca cola (308)
8993,B 0003- 00181730,2023-02-13,Cliente: Consumidor Final (1),7894731,1,Pepsi 250 cc,175.0,21.0,175.0,pepsi (309)
8994,B 0003- 00181730,2023-02-13,Cliente: Consumidor Final (1),6070,1,Paso de los Toros Pomelo 500cc,210.0,21.0,210.0,pepsi (309)
8995,B 0003- 00181731,2023-02-13,Cliente: Consumidor Final (1),6311,1,agua sierra de los padres 2L,260.0,21.0,260.0,agua mineral (21)
8996,B 0003- 00181732,2023-02-13,Cliente: Consumidor Final (1),13,1,Philip Morris 10,310.0,10.5,310.0,cigarrillos
8997,B 0003- 00181733,2023-02-13,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0,comida (30)
8998,B 0003- 00181734,2023-02-13,Cliente: Consumidor Final (1),9540882,1,Toro clasico blanco 750 ml,450.0,21.0,450.0,vinos (302)
8999,B 0003- 00181735,2023-02-13,Cliente: Billetera (23),3021,1,"sanguche milanesa jamon, queso casero",430.0,21.0,430.0,9999
9000,B 0003- 00181736,2023-02-13,Cliente: Consumidor Final (1),7894591,1,chesterfield ks 20,400.0,21.0,400.0,cigarrillos
9001,B 0003- 00181737,2023-02-13,Cliente: Consumidor Final (1),6200,1,Topline 7 Strong,110.0,21.0,110.0,chiclets (6)
9002,B 0003- 00181738,2023-02-13,Cliente: Billetera (23),6311,1,agua sierra de los padres 2L,260.0,21.0,260.0,agua mineral (21)
9003,B 0003- 00181739,2023-02-13,Cliente: Consumidor Final (1),983,1,Quilmes Lata 473cc,320.0,21.0,320.0,quilmes (312)
9004,B 0003- 00181740,2023-02-13,Cliente: Billetera (23),6191,1,Pepsi 2L Retornable,430.0,21.0,430.0,pepsi (309)
9005,B 0003- 00181741,2023-02-13,Cliente: QR Nico (21),928,1,7up 1500 cc,420.0,21.0,420.0,pepsi (309)
9006,B 0003- 00181741,2023-02-13,Cliente: QR Nico (21),943,1,Levite Pera 1500cc,390.0,21.0,390.0,levite (310)
9007,B 0003- 00181741,2023-02-13,Cliente: QR Nico (21),1686,1,crema de leche serenisima cocina 200ml,340.0,21.0,340.0,lacteos (28)
9008,B 0003- 00181741,2023-02-13,Cliente: QR Nico (21),7894295,1,Leche entera la serenisima,320.0,21.0,320.0,lacteos (28)
9009,B 0003- 00181741,2023-02-13,Cliente: QR Nico (21),7894550,1,Yogur Entero Tregar Durazno 160g,190.0,21.0,190.0,lacteos (28)
9010,B 0003- 00181741,2023-02-13,Cliente: QR Nico (21),867,2,Bizcochos 9 de oro Agridulces 200g,190.0,21.0,380.0,galletitas (9)
9011,B 0003- 00181741,2023-02-13,Cliente: QR Nico (21),3611,1,Hogareñas Salvado 200g,220.0,21.0,220.0,galletitas (9)
9012,B 0003- 00181741,2023-02-13,Cliente: QR Nico (21),3611,1,Hogareñas Salvado 200g,220.0,21.0,220.0,galletitas (9)
9013,B 0003- 00181741,2023-02-13,Cliente: QR Nico (21),3505,4,Medialuna/Bizcocho,90.0,21.0,360.0,9999
9014,B 0003- 00181741,2023-02-13,Cliente: QR Nico (21),9541090,1,Celusal parrillera 1kg,310.0,21.0,310.0,9999
9015,B 0003- 00181742,2023-02-13,Cliente: Consumidor Final (1),19,1,Marlboro Box,620.0,21.0,620.0,cigarrillos
9016,B 0003- 00181743,2023-02-13,Cliente: Consumidor Final (1),222,2,Queso Rallado La Serenisima 35g,250.0,21.0,500.0,lacteos (28)
9017,B 0003- 00181744,2023-02-13,Cliente: Consumidor Final (1),7894591,1,chesterfield ks 20,400.0,21.0,400.0,cigarrillos
9018,B 0003- 00181745,2023-02-13,Cliente: Consumidor Final (1),900,1,Coca cola Zero 1500cc,520.0,21.0,520.0,coca cola (308)
9019,B 0003- 00181746,2023-02-13,Cliente: QR Nico (21),6803,1,Levite Naranja 500c,190.0,21.0,190.0,levite (310)
9020,B 0003- 00181746,2023-02-13,Cliente: QR Nico (21),9540451,1,Agua sierra de los padres 600ml,150.0,21.0,150.0,agua mineral (21)
9021,B 0003- 00181746,2023-02-13,Cliente: QR Nico (21),3666,1,Speed Chico 250cc,270.0,21.0,270.0,energizantes (314)
9022,B 0003- 00181747,2023-02-13,Cliente: Consumidor Final (1),1624,1,Coca Cola Zero x 500 cc,230.0,21.0,230.0,coca cola (308)
9023,B 0003- 00181748,2023-02-13,Cliente: Consumidor Final (1),6775,1,7up 500cc,210.0,21.0,210.0,pepsi (309)
9024,B 0003- 00181749,2023-02-13,Cliente: Consumidor Final (1),3544,1,Gatorade Manzana 500cc,360.0,21.0,360.0,pepsi (309)
9025,B 0003- 00181750,2023-02-13,Cliente: Consumidor Final (1),1641,1,Cepita Naranja  200 cc,130.0,21.0,130.0,coca cola (308)
9026,B 0003- 00181751,2023-02-13,Cliente: Consumidor Final (1),7893899,1,Marlboro fusion blast box,550.0,21.0,550.0,cigarrillos
9027,B 0003- 00181751,2023-02-13,Cliente: Consumidor Final (1),903,1,coca cola retornable 2000,450.0,21.0,450.0,coca cola (308)
9028,B 0003- 00181752,2023-02-13,Cliente: Consumidor Final (1),934,1,Villavicencio Sport 750cc,250.0,21.0,250.0,levite (310)
9029,B 0003- 00181753,2023-02-13,Cliente: Consumidor Final (1),1624,1,Coca Cola Zero x 500 cc,230.0,21.0,230.0,coca cola (308)
9030,B 0003- 00181754,2023-02-13,Cliente: Consumidor Final (1),7894543,1,Yogur Entero Tregar Arandanos 160g,190.0,21.0,190.0,lacteos (28)
9031,B 0003- 00181754,2023-02-13,Cliente: Consumidor Final (1),6070,1,Paso de los Toros Pomelo 500cc,210.0,21.0,210.0,pepsi (309)
9032,B 0003- 00181755,2023-02-13,Cliente: Consumidor Final (1),7894642,1,Halls free cherry,140.0,21.0,140.0,9999
9033,B 0003- 00181755,2023-02-13,Cliente: Consumidor Final (1),7893486,2,Turron Nevares,50.0,21.0,100.0,golosinas
9034,B 0003- 00181756,2023-02-13,Cliente: Consumidor Final (1),7893817,1,Playadito 500g,470.0,21.0,470.0,yerba (10)
9035,B 0003- 00181757,2023-02-13,Cliente: QR Nico (21),1614,1,chesterfield red box,490.0,21.0,490.0,cigarrillos
9036,B 0003- 00181757,2023-02-13,Cliente: QR Nico (21),3647,1,lucky clic cool 12,310.0,21.0,310.0,cigarrillos
9037,B 0003- 00181757,2023-02-13,Cliente: QR Nico (21),1624,1,Coca Cola Zero x 500 cc,230.0,21.0,230.0,coca cola (308)
9038,B 0003- 00181757,2023-02-13,Cliente: QR Nico (21),3021,1,"sanguche milanesa jamon, queso casero",470.0,21.0,470.0,9999
9039,B 0003- 00181758,2023-02-13,Cliente: Consumidor Final (1),910,1,Fanta 500 cc,220.0,21.0,220.0,coca cola (308)
9040,B 0003- 00181759,2023-02-13,Cliente: Consumidor Final (1),983,2,Quilmes Lata 473cc,320.0,21.0,640.0,quilmes (312)
9041,B 0003- 00181759,2023-02-13,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,310.0,10.5,310.0,cigarrillos
9042,B 0003- 00181760,2023-02-13,Cliente: Consumidor Final (1),7895022,1,Leche descremada Tregar,290.0,21.0,290.0,lacteos (28)
9043,B 0003- 00181760,2023-02-13,Cliente: Consumidor Final (1),1,60,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,600.0,caramelos (32)
9044,B 0003- 00181761,2023-02-13,Cliente: Consumidor Final (1),1519,1,Pack x4 Triples Migamax,450.0,21.0,450.0,sandwich (1.500)
9045,B 0003- 00181762,2023-02-13,Cliente: Consumidor Final (1),916,1,Powerade Manzana 500cc,280.0,21.0,280.0,coca cola (308)
9046,B 0003- 00181763,2023-02-13,Cliente: Consumidor Final (1),6200,1,Topline 7 Strong,110.0,21.0,110.0,chiclets (6)
9047,B 0003- 00181763,2023-02-13,Cliente: Consumidor Final (1),248,1,prime ultra fino,530.0,21.0,530.0,preservativos (27)
